                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.4903,                0.76143,                0.87493,                0.95998,                0.88406,                0.93255,                0.47563,                 1.6633,                0.73943,                0.92877,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.5095,                0.77401,                0.87841,                0.96363,                0.89999,                0.94528,                0.46945,                 1.6572,                0.72396,                0.92561,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.4879,                0.75054,                0.87102,                 0.9462,                0.90906,                0.94591,                0.48959,                 1.5843,                0.71255,                0.91586,               0.000505,               0.000505,               0.000505
                     53,                   1.48,                0.73995,                0.86842,                0.96992,                0.88107,                0.93806,                 0.4865,                 1.5819,                0.71071,                0.91909,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.4694,                0.74012,                 0.8729,                0.96101,                0.89863,                0.93914,                0.48643,                  1.586,                0.72063,                0.91463,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.4795,                0.74218,                0.87079,                0.93296,                0.88746,                0.93959,                0.49089,                 1.5968,                0.73021,                0.91342,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.4933,                0.74829,                0.87782,                0.92635,                0.90312,                0.93739,                0.47415,                 1.6289,                0.71983,                0.92303,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.4717,                0.75126,                0.87665,                0.93719,                0.88919,                0.93867,                0.48065,                 1.6036,                0.71092,                0.92023,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.4582,                0.74718,                0.87205,                0.95415,                0.87853,                0.93502,                0.48054,                 1.6308,                0.74146,                0.92483,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.4358,                  0.739,                0.87372,                0.95781,                0.90462,                0.94373,                0.47688,                 1.6254,                0.70677,                0.92099,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.4318,                0.71851,                  0.867,                0.93596,                0.89931,                0.93354,                0.46481,                 1.6737,                0.72203,                0.92573,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.4186,                0.71561,                 0.8677,                0.93074,                0.89177,                 0.9293,                0.47357,                 1.6553,                0.73164,                0.92262,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.4176,                 0.7051,                0.86621,                0.95084,                0.92109,                0.95996,                0.47657,                 1.6582,                0.69639,                0.92258,               0.000406,               0.000406,               0.000406
                     63,                 1.4029,                0.71126,                0.86446,                0.95702,                0.90768,                 0.9477,                0.48958,                 1.6017,                0.67511,                0.91769,              0.0003961,              0.0003961,              0.0003961
                     64,                  1.386,                0.68491,                0.86277,                0.96951,                0.90831,                0.95169,                0.49208,                 1.5806,                0.68328,                0.91479,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.3893,                0.68307,                0.86383,                0.94722,                0.92535,                0.95623,                0.49962,                 1.5784,                0.68321,                0.90855,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.4097,                0.69332,                0.87118,                0.94646,                0.92549,                0.95822,                0.48612,                 1.6543,                 0.6931,                0.91786,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.3925,                0.68685,                0.85996,                0.95713,                0.91609,                0.95534,                0.50098,                 1.5836,                0.66341,                0.90898,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.3848,                0.68596,                 0.8703,                0.95322,                0.89333,                0.94078,                0.48942,                 1.5998,                0.67726,                0.91296,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.4085,                0.69936,                0.85955,                0.95678,                0.90619,                0.94706,                0.46899,                 1.6358,                0.68246,                0.92353,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.4153,                0.69052,                0.86752,                0.95269,                0.91957,                0.94798,                0.48836,                  1.595,                0.67454,                0.91068,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.3451,                0.66328,                0.86302,                0.94945,                0.90937,                0.94191,                0.49677,                 1.5605,                0.67377,                0.90797,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.3656,                0.67077,                0.86631,                0.96126,                0.90386,                0.94455,                0.48453,                 1.5962,                 0.6707,                0.91299,               0.000307,               0.000307,               0.000307
                     73,                 1.3612,                0.66942,                0.86376,                0.95773,                0.90933,                0.94262,                0.49186,                 1.5783,                0.66183,                 0.9062,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.3484,                0.65637,                0.85901,                0.95614,                0.91627,                0.94933,                0.49618,                   1.58,                0.66416,                0.90971,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.3066,                0.65505,                 0.8478,                0.95529,                0.92141,                0.95469,                0.51523,                  1.542,                0.66322,                0.90162,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.3179,                0.65095,                0.86242,                0.94973,                0.91375,                0.95077,                0.50483,                 1.5939,                 0.6684,                0.91216,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.3355,                0.65045,                0.84865,                0.94855,                0.90603,                0.94677,                0.50945,                 1.5778,                0.65736,                0.90654,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.3275,                0.64615,                0.85727,                0.94524,                0.91835,                0.95617,                 0.5089,                 1.5893,                0.64835,                0.91015,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.3164,                0.64241,                0.84777,                 0.9619,                0.91969,                0.95639,                0.49722,                 1.6221,                0.65807,                0.91451,              0.0002377,              0.0002377,              0.0002377
                     80,                  1.307,                0.63598,                0.85538,                 0.9581,                0.90607,                0.95649,                0.50023,                 1.6061,                0.65529,                0.91017,              0.0002278,              0.0002278,              0.0002278
                     81,                  1.318,                0.64897,                0.84747,                0.96694,                0.90919,                0.95552,                0.50105,                 1.6195,                0.65093,                 0.9121,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.2672,                0.61051,                0.85051,                0.95712,                0.90213,                0.95153,                0.49474,                 1.5946,                0.65294,                0.91373,               0.000208,               0.000208,               0.000208
                     83,                 1.2607,                0.61278,                0.84708,                0.93477,                 0.9099,                0.94814,                0.50329,                 1.6043,                0.64812,                0.91313,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.2424,                0.61294,                0.84997,                0.93839,                0.91738,                0.94434,                0.50024,                 1.6261,                0.65801,                0.92413,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.2454,                 0.6099,                0.84785,                0.95208,                0.91544,                0.95609,                0.50729,                 1.6195,                0.65516,                0.91695,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.2677,                0.61787,                0.84242,                0.93193,                0.90981,                 0.9564,                0.50019,                 1.6122,                0.64084,                0.91583,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.2611,                0.61887,                0.84954,                  0.956,                0.90886,                0.94572,                 0.4995,                 1.5885,                0.64704,                0.91457,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.2774,                0.61146,                0.84392,                0.95273,                0.92826,                0.96116,                0.50232,                 1.5706,                0.64452,                0.91079,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.2375,                0.59155,                0.84517,                0.96737,                0.91539,                  0.961,                0.50221,                 1.6079,                 0.6425,                 0.9132,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.2348,                0.60487,                0.84275,                0.95565,                0.92189,                0.96103,                0.50761,                 1.5863,                0.62742,                0.91034,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.2194,                0.58162,                 0.8489,                0.95576,                0.91186,                0.95444,                 0.5009,                 1.6081,                0.66277,                0.91723,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.2058,                0.57446,                0.85455,                0.93258,                0.90229,                0.94873,                0.48272,                 1.6494,                 0.6846,                0.92482,               0.000109,               0.000109,               0.000109
                     93,                 1.1748,                 0.5607,                0.85047,                 0.9388,                0.90638,                 0.9529,                0.49903,                 1.5935,                0.66461,                0.91351,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.1897,                0.55812,                0.85002,                0.94602,                0.90739,                0.94979,                0.49888,                 1.5824,                 0.6485,                0.91234,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                  1.169,                 0.5505,                0.84288,                0.93932,                 0.9054,                0.94529,                0.48461,                 1.6134,                0.64891,                  0.917,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.1457,                0.54456,                0.84371,                0.95819,                0.91114,                0.95732,                0.50263,                 1.5731,                0.64022,                0.90927,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                 1.1353,                0.53831,                0.84629,                 0.9573,                0.91035,                0.95637,                0.49948,                 1.5904,                0.63932,                0.91351,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 1.1298,                0.52932,                0.84883,                0.95635,                0.90855,                0.95658,                0.50026,                 1.5819,                0.63856,                 0.9131,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                 1.1292,                0.53214,                0.84013,                0.95031,                0.90972,                0.95655,                0.50407,                 1.5848,                0.64324,                0.91338,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                 1.1286,                0.53703,                0.84844,                0.93355,                0.92356,                0.95607,                0.50271,                 1.5989,                0.64136,                0.91505,               2.98e-05,               2.98e-05,               2.98e-05
